861             800          
16.000000     37.000000     0.740000       
16.000000     38.000000     0.760000       
16.000000     39.000000     0.780000       
16.000000     40.000000     0.800000       
17.000000     0.000000      0.000000       
17.000000     1.000000      0.020000       
17.000000     2.000000      0.040000       
17.000000     3.000000      0.060000       
17.000000     4.000000      0.080000       
17.000000     5.000000      0.100000       
17.000000     6.000000      0.120000       
17.000000     7.000000      0.140000       
17.000000     8.000000      0.160000       
17.000000     9.000000      0.180000       
17.000000     10.000000     0.200000       
17.000000     11.000000     0.220000       
17.000000     12.000000     0.240000       
17.000000     13.000000     0.260000       
17.000000     14.000000     0.280000       
17.000000     15.000000     0.300000       
17.000000     16.000000     0.320000       
17.000000     17.000000     0.340000       
17.000000     18.000000     0.360000       
17.000000     19.000000     0.380000       
17.000000     20.000000     0.400000       
17.000000     21.000000     0.420000       
17.000000     22.000000     0.440000       
17.000000     23.000000     0.460000       
17.000000     24.000000     0.480000       
17.000000     25.000000     0.500000       
17.000000     26.000000     0.520000       
17.000000     27.000000     0.540000       
17.000000     28.000000     0.560000       
17.000000     29.000000     0.580000       
17.000000     30.000000     0.600000       
17.000000     31.000000     0.620000       
17.000000     32.000000     0.640000       
17.000000     33.000000     0.660000       
17.000000     34.000000     0.680000       
17.000000     35.000000     0.700000       
17.000000     36.000000     0.720000       
17.000000     37.000000     0.740000       
17.000000     38.000000     0.760000       
17.000000     39.000000     0.780000       
17.000000     40.000000     0.800000       
18.000000     0.000000      0.000000       
18.000000     1.000000      0.020000       
18.000000     2.000000      0.040000       
18.000000     3.000000      0.060000       
18.000000     4.000000      0.080000       
18.000000     5.000000      0.100000       
18.000000     6.000000      0.120000       
18.000000     7.000000      0.140000       
18.000000     8.000000      0.160000       
18.000000     9.000000      0.180000       
18.000000     10.000000     0.200000       
18.000000     11.000000     0.220000       
18.000000     12.000000     0.240000       
18.000000     13.000000     0.260000       
18.000000     14.000000     0.280000       
18.000000     15.000000     0.300000       
18.000000     16.000000     0.320000       
18.000000     17.000000     0.340000       
18.000000     18.000000     0.360000       
18.000000     19.000000     0.380000       
18.000000     20.000000     0.400000       
18.000000     21.000000     0.420000       
18.000000     22.000000     0.440000       
18.000000     23.000000     0.460000       
18.000000     24.000000     0.480000       
18.000000     25.000000     0.500000       
18.000000     26.000000     0.520000       
18.000000     27.000000     0.540000       
18.000000     28.000000     0.560000       
18.000000     29.000000     0.580000       
18.000000     30.000000     0.600000       
18.000000     31.000000     0.620000       
18.000000     32.000000     0.640000       
18.000000     33.000000     0.660000       
18.000000     34.000000     0.680000       
18.000000     35.000000     0.700000       
18.000000     36.000000     0.720000       
18.000000     37.000000     0.740000       
18.000000     38.000000     0.760000       
18.000000     39.000000     0.780000       
18.000000     40.000000     0.800000       
19.000000     0.000000      0.000000       
19.000000     1.000000      0.020000       
19.000000     2.000000      0.040000       
19.000000     3.000000      0.060000       
19.000000     4.000000      0.080000       
19.000000     5.000000      0.100000       
19.000000     6.000000      0.120000       
19.000000     7.000000      0.140000       
19.000000     8.000000      0.160000       
19.000000     9.000000      0.180000       
19.000000     10.000000     0.200000       
19.000000     11.000000     0.220000       
19.000000     12.000000     0.240000       
19.000000     13.000000     0.260000       
19.000000     14.000000     0.280000       
19.000000     15.000000     0.300000       
19.000000     16.000000     0.320000       
19.000000     17.000000     0.340000       
19.000000     18.000000     0.360000       
19.000000     19.000000     0.380000       
19.000000     20.000000     0.400000       
19.000000     21.000000     0.420000       
19.000000     22.000000     0.440000       
19.000000     23.000000     0.460000       
19.000000     24.000000     0.480000       
