       flux1               flux2            flux3               flux4 
     -0.60817266E-02     0.62372516E-18     0.21704472E-03    -0.62372516E-18
     -0.68502612E-02     0.57807250E-18     0.20652747E-03    -0.57807250E-18
     -0.75285526E-02     0.74665457E-18     0.19577066E-03    -0.74665457E-18
     -0.81165519E-02     0.79047079E-18     0.18501564E-03    -0.79047079E-18
     -0.86193086E-02     0.75333412E-18     0.17444409E-03    -0.75333412E-18
     -0.90446843E-02     0.58686817E-18     0.16420965E-03    -0.58686817E-18
     -0.94017283E-02     0.91536505E-18     0.15440864E-03    -0.91536505E-18
     -0.96996224E-02     0.62802376E-18     0.14509720E-03    -0.62802376E-18
     -0.99470554E-02     0.83779320E-18     0.13630057E-03    -0.83779320E-18
     -0.10151900E-01     0.87019928E-18     0.12800821E-03    -0.87019928E-18
     -0.10321085E-01     0.60349996E-18     0.12021220E-03    -0.60349996E-18
     -0.10460585E-01     0.81143494E-18     0.11290605E-03    -0.81143494E-18
     -0.10575481E-01     0.74310911E-18     0.10607504E-03    -0.74310911E-18
     -0.10670044E-01     0.75542324E-18     0.99698419E-04    -0.75542324E-18
     -0.10747843E-01     0.72983643E-18     0.93753147E-04    -0.72983643E-18
     -0.10811840E-01     0.91434314E-18     0.88214521E-04    -0.91434314E-18
     -0.10864484E-01     0.94443726E-18     0.83057600E-04    -0.94443726E-18
     -0.10907797E-01     0.73267318E-18     0.78257698E-04    -0.73267318E-18
     -0.10943441E-01     0.68399688E-18     0.73790625E-04    -0.68399688E-18
     -0.10972783E-01     0.81768752E-18     0.69633039E-04    -0.81768752E-18
     -0.10996947E-01     0.77077408E-18     0.65762654E-04    -0.77077408E-18
     -0.11016853E-01     0.69245386E-18     0.62158432E-04    -0.69245386E-18
     -0.11033260E-01     0.76732726E-18     0.58800755E-04    -0.76732726E-18
     -0.11046787E-01     0.56177329E-18     0.55671202E-04    -0.56177329E-18
     -0.11057945E-01     0.72357776E-18     0.52752613E-04    -0.72357776E-18
